video_id,element
1,Erde
2,Feuer
3,Feuer
4,Erde
5,Erde
6,Erde
7,Boden
8,Boden
9,Erde
10,Erde
11,Feuer
12,Luft
13,Erde
14,Erde
15,Wasser
16,Boden
17,Luft
18,Luft
19,Boden
20,Luft
21,Erde
22,Feuer
23,Wasser
24,Feuer
25,Wasser
26,Erde
27,Wasser
28,Boden
29,Boden
30,Wasser
31,Wasser
32,Luft
33,Erde
34,Wasser
35,Feuer
36,Boden
37,Erde
38,Luft
39,Luft
40,Boden
41,Boden
42,Boden
43,Erde
44,Feuer
45,Boden
46,Boden
47,Boden
48,Boden
49,Wasser
50,Feuer
51,Wasser
52,Boden
53,Luft
54,Feuer
55,Feuer
56,Erde
57,Wasser
58,Wasser
59,Erde
60,Boden
61,Feuer
62,Luft
63,Luft
64,Erde
65,Luft
66,Wasser
67,Luft
68,Wasser
69,Luft
70,Boden
71,Erde
72,Wasser
73,Luft
74,Feuer
75,Erde
76,Boden
77,Luft
78,Luft
79,Luft
80,Wasser
81,Luft
82,Wasser
83,Luft
84,Erde
85,Erde
86,Feuer
87,Feuer
88,Feuer
89,Feuer
90,Feuer
91,Wasser
92,Luft
93,Erde
94,Boden
95,Feuer
96,Wasser
97,Luft
98,Luft
99,Wasser
100,Feuer
101,Luft
102,Luft
103,Boden
104,Boden
105,Boden
106,Erde
107,Luft
108,Wasser
109,Erde
110,Luft
111,Erde
112,Luft
113,Luft
114,Wasser
115,Luft
116,Erde
117,Luft
118,Erde
119,Luft
120,Boden
121,Wasser
122,Feuer
123,Feuer
124,Wasser
125,Boden
126,Erde
127,Luft
128,Feuer
129,Erde
130,Boden
131,Luft
132,Luft
133,Boden
134,Wasser
135,Boden
136,Luft
137,Boden
138,Erde
139,Boden
140,Erde
141,Boden
142,Erde
143,Erde
144,Luft
145,Feuer
146,Luft
147,Feuer
148,Boden
149,Luft
150,Wasser
151,Luft
152,Boden
153,Boden
154,Boden
155,Luft
156,Erde
157,Luft
158,Erde
159,Feuer
160,Wasser
161,Luft
162,Luft
163,Erde
164,Feuer
165,Boden
166,Luft
167,Boden
168,Wasser
169,Erde
170,Luft
171,Erde
172,Feuer
173,Boden
174,Wasser
175,Feuer
176,Boden
177,Erde
178,Erde
179,Erde
180,Erde
181,Erde
182,Feuer
183,Luft
184,Wasser
185,Luft
186,Wasser
187,Wasser
188,Luft
189,Wasser
190,Erde
191,Erde
192,Wasser
193,Boden
194,Feuer
