video_id,element
1,Luft
2,Feuer
3,Feuer
4,Wasser
5,Luft
6,Wasser
7,Boden
8,Boden
9,Erde
10,Wasser
11,Feuer
12,Luft
13,Wasser
14,Luft
15,Wasser
16,Boden
17,Luft
18,Luft
19,Boden
20,Luft
21,Feuer
22,Feuer
23,Wasser
24,Feuer
25,Wasser
26,Wasser
27,Wasser
28,Boden
29,Boden
30,Wasser
31,Wasser
32,Luft
33,Wasser
34,Wasser
35,Feuer
36,Boden
37,Luft
38,Luft
39,Luft
40,Boden
41,Boden
42,Boden
43,Luft
44,Feuer
45,Boden
46,Boden
47,Boden
48,Boden
49,Wasser
50,Feuer
51,Wasser
52,Boden
53,Wasser
54,Feuer
55,Feuer
56,Luft
57,Wasser
58,Wasser
59,Wasser
60,Boden
61,Feuer
62,Luft
63,Luft
64,Wasser
65,Luft
66,Wasser
67,Feuer
68,Wasser
69,Luft
70,Boden
71,Luft
72,Wasser
73,Luft
74,Feuer
75,Wasser
76,Boden
77,Luft
78,Luft
79,Wasser
80,Wasser
81,Luft
82,Wasser
83,Luft
84,Wasser
85,Luft
86,Feuer
87,Feuer
88,Feuer
89,Feuer
90,Feuer
91,Wasser
92,Luft
93,Wasser
94,Boden
95,Feuer
96,Wasser
97,Wasser
98,Wasser
99,Wasser
100,Feuer
101,Luft
102,Luft
103,Boden
104,Boden
105,Boden
106,Luft
107,Luft
108,Wasser
109,Luft
110,Luft
111,Luft
112,Luft
113,Wasser
114,Feuer
115,Wasser
116,Luft
117,Luft
118,Luft
119,Luft
120,Boden
121,Wasser
122,Feuer
123,Feuer
124,Wasser
125,Boden
126,Erde
127,Luft
128,Boden
129,Wasser
130,Boden
131,Luft
132,Luft
133,Boden
134,Wasser
135,Boden
136,Wasser
137,Boden
138,Luft
139,Boden
140,Luft
141,Boden
142,Wasser
143,Luft
144,Luft
145,Feuer
146,Luft
147,Feuer
148,Boden
149,Luft
150,Wasser
151,Luft
152,Boden
153,Boden
154,Boden
155,Wasser
156,Wasser
157,Luft
158,Wasser
159,Boden
160,Wasser
161,Luft
162,Luft
163,Luft
164,Feuer
165,Boden
166,Luft
167,Boden
168,Wasser
169,Erde
170,Luft
171,Wasser
172,Feuer
173,Boden
174,Wasser
175,Feuer
176,Boden
177,Wasser
178,Luft
179,Wasser
180,Luft
181,Wasser
182,Feuer
183,Luft
184,Wasser
185,Luft
186,Wasser
187,Wasser
188,Luft
189,Wasser
190,Luft
191,Wasser
192,Wasser
193,Boden
194,Feuer
195,Feuer
196,Feuer
197,Luft
198,Wasser
199,Luft
200,Wasser
201,Luft
202,Wasser
203,Wasser
204,Luft
205,Wasser
206,Feuer
207,Feuer
208,Wasser
209,Feuer
210,Luft
211,Wasser
212,Wasser
213,Boden
214,Boden
215,Luft
216,Luft
217,Luft
218,Wasser
219,Luft
220,Wasser
221,Boden
222,Boden
223,Wasser
224,Boden
225,Wasser
226,Boden
227,Wasser
228,Luft
229,Wasser
230,Wasser
231,Luft
232,Wasser
233,Feuer
234,Feuer
235,Wasser
236,Wasser
237,Boden
238,Erde
239,Luft
240,Erde
241,Boden
242,Luft
243,Luft
244,Boden
245,Feuer
246,Boden
247,Boden
248,Boden
249,Wasser
250,Luft
251,Feuer
252,Wasser
253,Luft
254,Boden
255,Feuer
256,Feuer
257,Luft
258,Feuer
259,Wasser
260,Wasser
261,Boden
262,Feuer
263,Erde
264,Feuer
265,Feuer
266,Wasser
267,Wasser
268,Luft
269,Wasser
270,Wasser
271,Boden
272,Boden
273,Wasser
274,Boden
275,Boden
276,Wasser
277,Feuer
278,Wasser
279,Wasser
280,Boden
281,Wasser
282,Feuer
283,Luft
284,Luft
285,Luft
286,Luft
287,Boden
288,Boden
289,Wasser
290,Luft
291,Luft
292,Wasser
293,Feuer
294,Wasser
295,Luft
296,Wasser
297,Wasser
298,Wasser
299,Wasser
300,Feuer
301,Boden
302,Boden
303,Luft
304,Feuer
305,Wasser
306,Boden
307,Wasser
308,Boden
309,Luft
310,Wasser
311,Wasser
312,Luft
313,Boden
314,Luft
315,Wasser
316,Wasser
317,Luft
318,Wasser
319,Boden
320,Boden
321,Wasser
322,Luft
323,Luft
324,Boden
325,Luft
326,Wasser
327,Wasser
328,Luft
329,Feuer
330,Boden
331,Feuer
332,Wasser
333,Wasser
334,Feuer
335,Wasser
336,Boden
337,Wasser
338,Luft
339,Feuer
340,Luft
341,Feuer
342,Boden
343,Boden
344,Luft
345,Feuer
346,Wasser
347,Boden
348,Boden
349,Boden
350,Luft
351,Boden
352,Boden
353,Feuer
354,Luft
355,Luft
356,Wasser
357,Feuer
358,Luft
359,Wasser
360,Wasser
361,Feuer
362,Wasser
363,Boden
364,Wasser
365,Feuer
366,Luft
367,Boden
368,Wasser
369,Wasser
370,Luft
371,Boden
372,Wasser
373,Wasser
374,Wasser
375,Wasser
376,Luft
377,Erde
378,Boden
379,Feuer
380,Luft
381,Boden
382,Boden
383,Luft
384,Wasser
385,Wasser
386,Feuer
387,Wasser
388,Boden
389,Boden
390,Feuer
391,Wasser
392,Boden
393,Luft
394,Wasser
395,Luft
396,Luft
397,Feuer
398,Wasser
399,Wasser
400,Luft
401,Wasser
402,Feuer
403,Feuer
404,Wasser
405,Wasser
406,Feuer
407,Wasser
408,Boden
409,Luft
410,Luft
411,Feuer
412,Wasser
413,Wasser
414,Luft
415,Feuer
416,Boden
417,Wasser
418,Luft
419,Wasser
420,Wasser
421,Boden
422,Luft
423,Luft
424,Wasser
425,Wasser
426,Wasser
427,Wasser
428,Luft
429,Luft
430,Erde
431,Luft
432,Feuer
433,Luft
434,Luft
435,Luft
436,Luft
437,Luft
438,Wasser
439,Luft
440,Feuer
441,Boden
442,Feuer
443,Luft
444,Feuer
445,Boden
446,Feuer
447,Luft
448,Boden
449,Luft
450,Wasser
451,Wasser
452,Luft
453,Wasser
454,Boden
455,Wasser
456,Feuer
457,Feuer
458,Luft
459,Wasser
460,Luft
461,Wasser
462,Wasser
463,Feuer
464,Feuer
465,Boden
466,Luft
467,Luft
468,Wasser
469,Luft
470,Wasser
471,Wasser
472,Luft
473,Wasser
474,Wasser
475,Wasser
476,Boden
477,Boden
478,Luft
479,Wasser
480,Luft
481,Wasser
482,Boden
483,Feuer
484,Wasser
485,Boden
486,Luft
487,Boden
488,Feuer
489,Luft
490,Wasser
491,Wasser
492,Wasser
493,Wasser
494,Wasser
495,Boden
496,Luft
497,Luft
498,Feuer
499,Feuer
500,Feuer
501,Wasser
502,Boden
503,Luft
504,Feuer
505,Luft
506,Feuer
507,Luft
508,Boden
509,Wasser
