video_id,element,motion,power,speed,video_summary
1,Luft,zigzag,rot,6.9,"(-2.1926729074554174, 2.030383530444908)"
2,Luft,zigzag,lila,6.9,"(4.914813225902289, -6.948878266783748)"
3,Feuer,random,blau,9.6,"(-23.021601364370728, 15.423777693059154)"
4,Feuer,circular,rot,6.9,"(1.870036413515841, -4.616367297554152)"
5,Wasser,linear,blau,9.6,"(-35.56199835523218, -2.0998302183246302)"
6,Feuer,shm,lila,6.9,"(-1.6005198981252988, 1.6782032299748764)"
7,Boden,linear,blau,6.9,"(10.140891021343084, 0.2607073246058498)"
8,Boden,random,grun,9.6,"(3.540142053386951, -2.677150935176261)"
9,Feuer,circular,blau,6.9,"(4.159891121285604, 7.472966886515625)"
10,Boden,linear,lila,9.6,"(1.4102439582333908, -5.133913132672902)"
11,Erde,random,blau,9.6,"(15.769382492807416, -19.13214069590287)"
12,Boden,shm,lila,6.9,"(10.786712800025864, -1.473494342668051)"
13,Boden,linear,rot,6.9,"(5.290799486620067, 3.5074216415001054)"
14,Wasser,circular,grun,9.6,"(1.7099049234615649, -0.9984623388280056)"
15,Boden,random,lila,9.6,"(8.077322407419288, 2.9609063836687035)"
16,Erde,linear,grun,9.6,"(7.718963755924058, 0.2784176065503168)"
17,Luft,zigzag,lila,9.6,"(4.900697005021836, -2.2504511890177277)"
18,Feuer,circular,gelb,9.6,"(8.923651835205277, 13.804500113070585)"
19,Wasser,circular,blau,9.6,"(-0.7909824396266067, 8.827944783630397)"
20,Feuer,circular,blau,9.6,"(2.3716925783330325, -23.36467653395399)"
21,Boden,zigzag,lila,9.6,"(4.6808385239848604, -5.759289915704926)"
22,Boden,linear,lila,9.6,"(-3.445899789855442, -7.231091776888341)"
23,Erde,circular,blau,6.9,"(-3.8972414592893436, 6.016375064924095)"
24,Erde,random,lila,6.9,"(-5.372982076254903, 6.465847856045503)"
25,Boden,linear,lila,6.9,"(6.896752588575783, -10.245197219954374)"
26,Erde,circular,gelb,6.9,"(4.14983223811587, 1.6349179644892722)"
27,Boden,random,gelb,9.6,"(7.435651112486596, -14.255896891328343)"
28,Luft,shm,grun,9.6,"(4.060820374827522, 0.7418623428390418)"
29,Luft,linear,gelb,6.9,"(-7.2525679638273, 1.7128202050026253)"
30,Luft,circular,lila,9.6,"(1.8342293434022707, -6.8707104190769925)"
31,Feuer,shm,gelb,6.9,"(1.207802906931203, -9.024697155475522)"
32,Feuer,linear,rot,9.6,"(3.5453463593552144, 0.5116773567758308)"
33,Luft,circular,rot,9.6,"(18.02651348212212, -2.399420889026967)"
34,Feuer,random,rot,9.6,"(-5.021845195840562, -10.518651581327418)"
35,Wasser,random,grun,9.6,"(-7.548339096698996, 2.4199530797783417)"
