video_id,element,motion,power,speed,video_summary
1,Boden,zigzag,rot,6.9,"(1.020156, 0.17868944)"
2,Boden,zigzag,lila,6.9,"(2.0428615, 1.3515959)"
3,Wasser,random,blau,6.9,"(2.8248851, 0.14940861)"
4,Feuer,circular,rot,6.9,"(2.22455, -4.641681)"
5,Luft,linear,blau,9.6,"(-0.48156357, 1.9045918)"
6,Feuer,shm,lila,6.9,"(2.0358088, 1.0608352)"
7,Boden,linear,blau,6.9,"(2.5819426, 0.63750625)"
8,Wasser,random,grun,9.6,"(1.8650262, 1.4898745)"
9,Feuer,circular,blau,6.9,"(0.78019106, 2.4756646)"
10,Boden,linear,lila,9.6,"(2.2238657, 1.1189065)"
11,Boden,random,blau,9.6,"(2.6152544, 0.056203194)"
12,Boden,shm,lila,6.9,"(2.0816243, 1.1265738)"
13,Boden,linear,rot,6.9,"(2.488291, 5.7400956)"
14,Wasser,circular,grun,9.6,"(2.3159804, 0.5939942)"
15,Erde,random,lila,6.9,"(2.1367564, 1.1935695)"
16,Erde,linear,grun,9.6,"(2.2200513, 1.4726442)"
17,Erde,zigzag,lila,9.6,"(2.2071426, 1.1616656)"
18,Boden,circular,gelb,9.6,"(1.1837676, -3.8392682)"
19,Wasser,circular,blau,9.6,"(3.4005117, -2.2034645)"
20,Feuer,circular,blau,9.6,"(2.2093587, -3.903589)"
21,Luft,zigzag,lila,9.6,"(2.2791448, 1.225201)"
22,Boden,linear,lila,9.6,"(2.212206, 1.1364528)"
23,Erde,circular,blau,6.9,"(0.65197223, 1.9669756)"
24,Luft,random,lila,6.9,"(2.0656836, 1.1506038)"
25,Boden,linear,lila,6.9,"(2.0704088, 1.2597857)"
26,Erde,circular,gelb,6.9,"(1.2454298, -7.505808)"
27,Luft,random,gelb,9.6,"(1.0129989, -0.57416284)"
28,Luft,shm,grun,9.6,"(2.3761382, 1.3503455)"
29,Erde,linear,gelb,6.9,"(4.5726986, -7.3656545)"
30,Luft,circular,lila,9.6,"(2.0930133, 1.1418102)"
31,Feuer,shm,gelb,6.9,"(5.598099, -8.060526)"
