video_id,element,motion,power,speed,video_summary
1,Boden,zigzag,rot,6.9,"(0.17321162, -0.83984506)"
2,Boden,zigzag,lila,6.9,"(0.6941629, 0.29913992)"
3,Wasser,random,blau,6.9,"(0.5932425, -0.32573768)"
4,Feuer,circular,rot,6.9,"(-0.28001142, -3.833127)"
5,Luft,linear,blau,9.6,"(-1.0947754, 1.3090942)"
6,Feuer,shm,lila,6.9,"(0.80555195, 0.2892616)"
7,Boden,linear,blau,6.9,"(1.6888535, 0.068487264)"
8,Wasser,random,grun,9.6,"(0.65739137, 0.207399)"
9,Feuer,circular,blau,6.9,"(-1.730739, 4.1808825)"
10,Boden,linear,lila,9.6,"(0.73108846, 0.2612436)"
11,Boden,random,blau,9.6,"(0.4542244, 0.19238594)"
12,Boden,shm,lila,6.9,"(0.7718816, 0.29732838)"
13,Boden,linear,rot,6.9,"(0.63490224, 3.426293)"
14,Wasser,circular,grun,9.6,"(0.80105215, 0.1824158)"
15,Erde,random,lila,6.9,"(0.7551058, 0.32751176)"
16,Erde,linear,grun,9.6,"(0.7130964, 0.4205862)"
17,Erde,zigzag,lila,9.6,"(0.7333091, 0.28282583)"
18,Boden,circular,gelb,9.6,"(-1.5073926, -2.5147462)"
19,Wasser,circular,blau,9.6,"(-0.60752684, -0.90112096)"
20,Feuer,circular,blau,9.6,"(-0.07236927, -3.3013256)"
21,Luft,zigzag,lila,9.6,"(0.74604684, 0.27403226)"
22,Boden,linear,lila,9.6,"(0.72603977, 0.25970867)"
23,Erde,circular,blau,6.9,"(-1.7142766, 3.4245858)"
24,Luft,random,lila,6.9,"(0.7389131, 0.27272648)"
25,Boden,linear,lila,6.9,"(0.74149597, 0.35132298)"
26,Erde,circular,gelb,6.9,"(-2.3307273, -4.5608454)"
27,Luft,random,gelb,9.6,"(-1.0245851, -1.3208346)"
28,Luft,shm,grun,9.6,"(0.79700285, 0.24509828)"
29,Erde,linear,gelb,6.9,"(1.9776292, -4.259729)"
30,Luft,circular,lila,9.6,"(0.7876974, 0.27065203)"
31,Feuer,shm,gelb,6.9,"(2.3269806, -6.476292)"
32,Erde,linear,rot,9.6,"(4.5790987, 0.35027608)"
33,Wasser,circular,rot,9.6,"(0.0841224, -0.35666218)"
34,Feuer,random,rot,9.6,"(0.3241259, 0.26854324)"
35,Wasser,random,grun,9.6,"(0.84656733, 0.12827763)"
36,Luft,circular,gelb,6.9,"(11.712119, 3.0387964)"
37,Luft,zigzag,gelb,9.6,"(-0.70554996, -2.4944375)"
38,Erde,circular,lila,6.9,"(0.7707108, 0.34296754)"
39,Erde,circular,grun,6.9,"(0.54664546, 0.3887354)"
40,Erde,linear,blau,6.9,"(0.96444684, -0.21374358)"
41,Feuer,circular,lila,9.6,"(0.7054314, 0.32420912)"
42,Wasser,circular,gelb,6.9,"(-2.383766, -4.0239124)"
